,geoFIPS,NAME
858,g19155,Pottawattamie
859,g19077,Guthrie
860,g19079,Hamilton
861,g19083,Hardin
862,g19085,Harrison
863,g19087,Henry
864,g19089,Howard
865,g19091,Humboldt
866,g19093,Ida
867,g19095,Iowa
868,g19097,Jackson
869,g19101,Jefferson
870,g19103,Johnson
871,g19105,Jones
872,g19107,Keokuk
873,g19109,Kossuth
874,g19113,Linn
875,g19115,Louisa
876,g19119,Lyon
877,g19159,Ringgold
878,g19161,Sac
879,g19165,Shelby
880,g19167,Sioux
881,g19169,Story
882,g19171,Tama
883,g19173,Taylor
884,g19177,Van Buren
885,g19179,Wapello
886,g19181,Warren
887,g19183,Washington
888,g20021,Cherokee
889,g20023,Cheyenne
890,g20025,Clark
891,g20027,Clay
892,g20029,Cloud
893,g20031,Coffey
894,g20035,Cowley
895,g20037,Crawford
896,g20039,Decatur
897,g20041,Dickinson
898,g20043,Doniphan
899,g20045,Douglas
900,g20049,Elk
901,g20051,Ellis
902,g20053,Ellsworth
903,g20057,Ford
904,g20059,Franklin
905,g20061,Geary
906,g20063,Gove
907,g20065,Graham
908,g20069,Gray
909,g20071,Greeley
910,g20073,Greenwood
911,g20075,Hamilton
912,g20077,Harper
913,g20079,Harvey
914,g20083,Hodgeman
915,g20085,Jackson
916,g20001,Allen
917,g20003,Anderson
918,g20017,Chase
919,g20033,Comanche
920,g20047,Edwards
921,g20055,Finney
922,g20067,Grant
923,g20081,Haskell
924,g20093,Kearny
925,g20097,Kiowa
926,g20113,McPherson
927,g20129,Morton
928,g20143,Ottawa
929,g20149,Pottawatomie
930,g20161,Riley
931,g20165,Rush
932,g20171,Scott
933,g20185,Stafford
934,g20187,Stanton
935,g20189,Stevens
936,g20193,Thomas
937,g20203,Wichita
938,g20005,Atchison
939,g20007,Barber
940,g20009,Barton
941,g20011,Bourbon
942,g20013,Brown
943,g20015,Butler
944,g20019,Chautauqua
945,g20087,Jefferson
946,g20089,Jewell
947,g20091,Johnson
948,g20095,Kingman
949,g20099,Labette
950,g20101,Lane
951,g20103,Leavenworth
952,g20105,Lincoln
953,g20157,Republic
954,g20159,Rice
955,g20163,Rooks
956,g20167,Russell
957,g20169,Saline
958,g20173,Sedgwick
