Geo_FIPS,fema_region_sovi_rank,us_sovi_rank
g17059,64.0,194.0
g17061,361.0,446.0
g17063,92.0,59.0
g17065,315.0,403.0
g17067,321.0,343.0
g17069,293.0,207.0
g17071,338.0,521.0
g17073,448.0,337.0
g17075,210.0,279.0
g17077,406.0,507.0
g17079,402.0,226.0
g17081,437.0,465.0
g17083,233.0,265.0
g17085,329.0,371.0
g17087,17.0,72.0
g17089,156.0,132.0
g17091,262.0,452.0
g17093,32.0,7.0
g17095,152.0,179.0
g17097,292.0,30.0
g17099,441.0,494.0
g17101,18.0,89.0
g17103,312.0,391.0
g17105,392.0,295.0
g17107,520.0,270.0
g17109,313.0,429.0
g17111,51.0,19.0
g17113,115.0,83.0
g17115,190.0,328.0
g17117,499.0,516.0
g17119,352.0,285.0
g17121,203.0,231.0
g17123,507.0,414.0
g17125,247.0,373.0
g17127,165.0,145.0
g17129,308.0,367.0
g17131,506.0,291.0
g17133,44.0,43.0
g17135,355.0,317.0
g17137,408.0,304.0
g17139,347.0,464.0
g17141,379.0,238.0
g17143,324.0,447.0
g17145,147.0,227.0
g17147,131.0,102.0
g17149,251.0,211.0
g17151,128.0,58.0
g17153,50.0,71.0
g17155,181.0,137.0
g17157,124.0,157.0
g17159,359.0,482.0
g17161,95.0,286.0
g17163,302.0,466.0
g17165,121.0,201.0
g17167,474.0,361.0
g17169,314.0,235.0
g17171,511.0,430.0
g17173,444.0,397.0
g17175,496.0,520.0
g17177,96.0,173.0
g17179,226.0,203.0
g17181,219.0,236.0
g17183,119.0,230.0
g17185,434.0,523.0
g17187,69.0,98.0
g17189,295.0,178.0
g17191,289.0,375.0
g17193,54.0,111.0
g17195,171.0,370.0
g17197,158.0,33.0
g17199,356.0,331.0
g17201,107.0,399.0
g17203,90.0,86.0
g18001,178.0,474.0
g18003,405.0,290.0
g18005,283.0,133.0
g18007,483.0,509.0
g18009,318.0,325.0
g18011,27.0,11.0
g18013,261.0,463.0
g18015,326.0,225.0
g18017,108.0,374.0
g18019,494.0,382.0
g18021,362.0,468.0
g18023,87.0,357.0
g18025,462.0,348.0
g18027,180.0,396.0
g18029,83.0,82.0
g18031,370.0,244.0
g18033,208.0,115.0
g18035,248.0,196.0
g18037,271.0,107.0
g18039,138.0,345.0
g18041,120.0,119.0
g18043,522.0,303.0
g18045,471.0,306.0
g18047,100.0,69.0
g18049,454.0,155.0
g18051,201.0,144.0
g18053,137.0,152.0
g18055,430.0,341.0
g18057,8.0,5.0
g18059,66.0,51.0
g18061,113.0,81.0
g18063,30.0,17.0
g18065,395.0,475.0
g18067,264.0,335.0
g18069,373.0,352.0
g18071,431.0,237.0
g18073,172.0,91.0
g18075,339.0,506.0
g18077,371.0,473.0
g18079,111.0,118.0
g18081,91.0,60.0
g18083,435.0,504.0
g18085,272.0,104.0
g18087,12.0,424.0
g18089,56.0,339.0
g18091,343.0,261.0
g18093,514.0,495.0
g18095,346.0,381.0
g18097,53.0,363.0
g18099,377.0,297.0
g18101,246.0,153.0
g18103,135.0,193.0
g18105,174.0,167.0
g18107,517.0,376.0
g18109,116.0,95.0
g18111,336.0,263.0
g18113,317.0,262.0
g18115,279.0,398.0
g18117,473.0,450.0
g18119,218.0,191.0
g18121,357.0,315.0
g18123,106.0,127.0
g18125,380.0,122.0
g18127,127.0,66.0
g18129,144.0,75.0
g18131,476.0,294.0
g18133,45.0,54.0
g18135,301.0,503.0
g18137,429.0,362.0
g18139,489.0,296.0
g18141,254.0,522.0
g18143,516.0,272.0
g18145,468.0,327.0
g18147,141.0,88.0
g18149,358.0,487.0
g18151,175.0,128.0
g18153,79.0,120.0
g18155,393.0,524.0
g18157,173.0,108.0
g18159,382.0,409.0
g18161,198.0,195.0
g18163,237.0,379.0
g18165,386.0,349.0
g18167,497.0,472.0
g18169,168.0,219.0
g18171,154.0,96.0
g18173,65.0,55.0
g18175,320.0,206.0
g18177,63.0,106.0
g18179,446.0,346.0
g18181,411.0,441.0
g18183,98.0,68.0
g19001,246.0,363.0
g19003,363.0,167.0
g19005,250.0,281.0
g19007,178.0,181.0
g19009,192.0,89.0
g19011,137.0,123.0
g19013,286.0,405.0
g19015,187.0,164.0
g19017,92.0,156.0
g19019,135.0,140.0
g19021,101.0,232.0
g19023,389.0,325.0
g19025,284.0,86.0
g19027,235.0,189.0
g19029,214.0,179.0
g19031,161.0,225.0
g19033,315.0,273.0
g19035,392.0,304.0
g19037,234.0,183.0
g19039,333.0,186.0
g19041,373.0,364.0
g19043,314.0,327.0
g19045,341.0,381.0
g19047,68.0,196.0
g19049,15.0,2.0
g19051,306.0,388.0
g19053,290.0,272.0
g19055,141.0,175.0
g19057,162.0,211.0
g19059,34.0,359.0
g19061,310.0,319.0
g19063,367.0,355.0
g19065,378.0,334.0
g19067,203.0,242.0
g19069,190.0,255.0
g19071,384.0,347.0
g19073,337.0,329.0
g19075,122.0,169.0
g19077,260.0,371.0
g19079,401.0,386.0
g19081,330.0,350.0
g19083,255.0,336.0
g19085,270.0,387.0
g19087,324.0,410.0
g19089,338.0,297.0
g19091,352.0,362.0
g19093,273.0,294.0
g19095,134.0,193.0
g19097,285.0,335.0
g19099,297.0,289.0
g19101,67.0,69.0
g19103,32.0,23.0
g19105,123.0,241.0
g19107,393.0,248.0
g19109,278.0,330.0
g19111,224.0,309.0
g19113,145.0,84.0
g19115,261.0,408.0
g19117,268.0,287.0
g19119,202.0,247.0
g19121,43.0,56.0
g19123,308.0,239.0
g19125,90.0,161.0
g19127,128.0,210.0
g19129,57.0,85.0
g19131,361.0,348.0
g19133,143.0,61.0
